timestamp,transaction_id,customer_id,transaction_total,merchant_category,payment_method,region,total_quantity,total_quantity_7d,reported_transaction_total,is_fraud,reasoning
2024-11-07,1d459d0a,70e26801a97a48fcac573942d1b125af,893913,Clothing,Debit Card,Surabaya,97,74.05,893913,0,"Neither condition was met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 1.31 is >= 2.0 (which is false). Therefore, the transaction is not fraudulent."
2023-11-21,89a6fc03,e771ae9db9574cbf8dcb7f81abbc1a37,1135130,Groceries,PayPal,Jakarta,65,50.39,1135130,0,"Neither condition is met. 0 is equal to 0, and 1.29 is less than 2.0."
2021-09-23,0f9c4450,94561739ca7c415eb6527d063446362b,7640951,Electronics,Debit Card,Jakarta,23,12.43,7640951,0,"Neither condition is met. 0 equals 0, and 1.85 is less than 2.0."
2025-01-14,ea959df2,a08edad9ef214ff6b390e42d162525e5,9478898,Electronics,Debit Card,Jakarta,43,39.09,9478898,0,"Neither condition was met. The first condition (0 != 0) is always false, and the second condition (1.1 >= 2.0) is also false."
2025-03-08,d955aa19,9b028236a575496eaa3f039cc228d2b6,5364287,Sports,Debit Card,Medan,65,64.36,3969572,1,"The transaction is flagged as fraudulent because the value -1394715 is not equal to 0, indicating a discrepancy in transaction totals."
2022-11-08,f520a9f8,0b921d40a2ec4517af0485be2d274815,7181140,Groceries,Bank Transfer,Jakarta,4,2.05,7181140,0,"Neither condition was met. The first condition checks if 0 != 0 (which is always false), and the second condition checks if 1.95 >= 2.0 (which is also false). Therefore, no fraud indicators were detected."
2021-11-29,c7522013,ab13fa84e52a4203a24ca875676c315f,9101937,Sports,Credit Card,Surabaya,76,46.63,9101937,0,"Neither condition was met. 0 equals 0, and 1.63 is less than 2.0."
2022-08-28,101db07c,96b374ccbed740928890fcdae9efccb6,1769662,Home & Garden,Credit Card,Medan,39,37.86,1769662,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.03 is less than 2.0 (no significant quantity increase)."
2025-03-02,da655527,4785ff4b8409415b8922d03c3a45cabd,6623672,Groceries,Debit Card,Semarang,97,159.02,6623672,0,"Neither condition is met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 0.61 is >= 2.0 (which is false). Therefore, the transaction is not fraudulent."
2021-08-10,0873989d,f4084dcdb4544616b485c34f86c057c1,3501633,Clothing,Credit Card,Surabaya,75,82.42,3501633,0,"Neither condition was met. The first condition (0 != 0) is always false, and the second condition (0.91 >= 2.0) is also false. Therefore, no fraud indicators were detected."
2025-05-04,f641b1b4,9b1b93e10d7e45db8efe49ce56eef0b1,9887451,Sports,Debit Card,Jakarta,91,154.24,9887451,0,"Neither condition was met. The first condition checks if 0 ≠ 0 (which is always false), and the second condition checks if 0.59 ≥ 2.0 (which is also false). Therefore, no fraud indicators were detected."
2021-11-22,8e1cddb5,10d568fc0f274f8396a20238c303df98,4512605,Electronics,Bank Transfer,Jakarta,38,71.7,4512605,0,"Neither condition was met. 0 equals 0, and 0.53 is less than 2.0."
2025-05-06,1a619ee9,fa508846c5d34c8e9f6141281f68472b,7159145,Electronics,Debit Card,Jakarta,92,104.55,7159145,0,"Neither condition was met. The value 0 equals 0 (no discrepancy), and 0.88 is less than 2.0 (no significant quantity increase)."
2021-08-09,adf89e92,afbbf445f7ae4c35a2b5efaffb9a8e79,9477745,Clothing,Credit Card,Jakarta,1,0.61,9477745,0,"Neither condition is met. 0 equals 0, and 1.64 is less than 2.0."
2021-08-17,630eff28,98ad7787dda84daf9df1c1af571a07ea,4910796,Clothing,Bank Transfer,Jakarta,92,72.44,4910796,0,Neither condition was met: 0 equals 0 and 1.27 is less than 2.0.
2024-03-08,4cdbc376,77b2c440d8334a23966c92f43ac991c0,8741762,Groceries,PayPal,Surabaya,85,50.0,8741762,0,"Neither condition is met. 0 is equal to 0, and 1.7 is less than 2.0, so no fraud indicators are present."
2022-05-03,42c7fe16,42ef44ea22d242bfa543e7af0bbca1ef,1023603,Electronics,PayPal,Jakarta,74,77.89,1023603,0,"Neither condition was met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 0.95 is >= 2.0 (which is also false). Therefore, no fraud indicators were found."
2023-11-04,e7bc098c,3553591c006a4f8690c8b869a735c39c,3839506,Clothing,Credit Card,Jakarta,6,4.92,3839506,0,"Neither condition was met. The value 0 is equal to 0, and 1.22 is less than 2.0."
2021-07-04,4fd30c7d,0f7b2059edbe4a64ace4643a76194a49,3111540,Groceries,Bank Transfer,Jakarta,39,32.5,3111540,0,"Neither condition was met. The first condition (0 != 0) is always false, and the second condition (1.2 >= 2.0) is also false. Therefore, the transaction is not fraudulent."
2021-09-09,fbe4bc6e,bdaf46d62613484a998777f19720ac30,5713287,Clothing,Bank Transfer,Jakarta,54,40.0,5713287,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.35 is less than 2.0 (no significant quantity increase)."
2023-12-19,aeb2e6df,db0e9523102943848755c56923ea2ebb,6250587,Clothing,Bank Transfer,Surabaya,98,63.23,6250587,0,"Neither condition is met. 0 equals 0, and 1.55 is less than 2.0."
2025-11-28,2732260c,54934580f85848a0a9ef24b89c9e0efd,273504,Clothing,Debit Card,Semarang,88,127.54,273504,0,"Neither condition was met. The first condition (0 ≠ 0) is inherently false, and the second condition (0.69 ≥ 2.0) is also false. Therefore, no fraud indicators were detected."
2023-11-10,de25be5c,e3e1b90f701442a39839332ec28b2a99,9149807,Clothing,Credit Card,Surabaya,34,23.78,9149807,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.43 is less than 2.0 (no significant quantity increase)."
2023-10-22,130bd5d7,b449be2efe4743e7a97622318bb52ab3,413127,Groceries,Credit Card,Surabaya,67,79.76,413127,0,"Neither condition was met. 0 is equal to 0, and 0.84 is less than 2.0."
2025-09-23,41ee5211,b26fe596e40d4f7bab67e8ccb5b8a900,5223095,Groceries,Bank Transfer,Jakarta,36,32.73,5223095,0,"Neither condition was met. Condition 1 (0 != 0) is always false, and Condition 2 (1.1 >= 2.0) is also false. Therefore, no fraud indicators were detected."
2023-09-05,bacef1e6,2288f1d17a1c41db9d586964ab851159,6917750,Groceries,Debit Card,Jakarta,19,32.2,6917750,0,"Neither condition is met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 0.59 is >= 2.0 (which is false). Therefore, no fraud indicators are present."
2022-01-12,467ffcdc,716dd64b36704555af3245f0a9936262,3515228,Home & Garden,Debit Card,Jakarta,2,1.47,3515228,0,"Neither condition was met. The first condition checks if 0 ≠ 0 (which is false), and the second condition checks if 1.36 ≥ 2.0 (which is also false)."
2023-05-19,7fcc02db,2d4f6bc2098f4355923fa6f14690e9e3,863781,Home & Garden,PayPal,Bandung,26,26.0,863781,0,"Neither condition is met. 0 is always equal to 0, and 1.0 is less than 2.0. No discrepancies or significant quantity increases detected."
2021-08-10,38484140,e9c0851a28514802bf79f8a68895e270,6222276,Clothing,Bank Transfer,Bandung,54,52.94,6222276,0,"Neither condition is met. The first condition (0 != 0) is logically impossible, and the second condition (1.02 >= 2.0) is false. Therefore, the transaction is not fraudulent."
2024-09-23,37b5b201,391d1a752eb546b2a591ca727bbd6af3,322915,Clothing,Debit Card,Medan,35,47.3,322915,0,"Neither condition was met. The first condition checks if 0 ≠ 0 (which is false), and the second condition checks if 0.74 ≥ 2.0 (which is also false)."
2024-08-09,def6e024,b3823e59ac1d43afa9d164823fc2c26d,8199618,Sports,Bank Transfer,Medan,39,25.16,8199618,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.55 is less than 2.0 (no significant quantity increase)."
2022-11-11,f32d14de,e6a94f2baea64948bd04eeaa421e2388,9980516,Home & Garden,Bank Transfer,Jakarta,3,2.14,9980516,0,"Neither condition was met. 0 is equal to 0, and 1.4 is less than 2.0."
2022-02-20,87849e44,068fb8a68d8c4c8b8041506e8be74b6a,1386398,Clothing,PayPal,Jakarta,94,130.56,1386398,0,"Neither condition was met. 0 equals 0, and 0.72 is less than 2.0."
2022-03-21,de326aa0,1511dbd510c84ca3aaffff0279ead092,5500694,Groceries,Debit Card,Jakarta,93,52.84,5500694,0,"Neither condition is met. 0 equals 0, and 1.76 is less than 2.0."
2021-07-31,5bbefd1e,27c73b8e9f754c0ea056f2f41b5fde82,8024491,Groceries,Bank Transfer,Bandung,84,70.59,8024491,0,"Neither condition was met. The value 0 equals 0, and 1.19 is less than 2.0."
2023-01-21,aa248ac9,ebd51c3776e9488b99e69d02ff803706,6822064,Home & Garden,Debit Card,Surabaya,36,22.09,6822064,0,"Neither condition is met. The first condition (0 != 0) is always false, and 1.63 is less than 2.0."
2021-12-14,ffb3075d,777d26cd88904a0099d47858c48af4ce,661548,Groceries,Bank Transfer,Jakarta,61,58.65,661548,0,"Neither condition is met. The first condition (0 != 0) is always false, and the second condition (1.04 >= 2.0) is also false."
2024-10-01,8df62a80,d2df023d43de48bf917dded49b4c99f3,7777600,Groceries,PayPal,Bandung,20,12.42,7777600,0,Neither condition is met. 0 equals 0 (no discrepancy) and 1.61 is less than 2.0 (no significant quantity increase).
2022-05-20,e23b6482,f7c76fd0204e48bbbea12991144aa010,3396151,Groceries,Bank Transfer,Jakarta,55,73.33,3396151,0,"Neither condition was met. The first condition (0 != 0) is inherently false, and the second condition (0.75 >= 2.0) is also false. Therefore, no fraud indicators were detected."
2023-08-28,fe2291c4,485d989def47486f9e3eafde30659149,6273681,Home & Garden,Debit Card,Jakarta,84,77.06,6273681,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.09 is less than 2.0 (no significant quantity increase)."
2022-12-08,0df9c0cf,30a42fb4e0be42cca16ee4566b7e397c,1402531,Electronics,Bank Transfer,Bandung,95,30.35,925670,1,"Both conditions are met: -476861 ≠ 0 (discrepancy) and 3.13 ≥ 2.0 (significant quantity increase), indicating potential fraud."
2022-05-03,384c8944,534dbd97b6eb40e8b567f921f751ec14,2400052,Clothing,PayPal,Bandung,81,40.7,2400052,0,"Neither condition was met. The first condition (0 != 0) is inherently false, and 1.99 is not greater than or equal to 2.0."
2022-10-17,0188f1f0,c8b5abc1e31042a3b33352ca5dd45d68,5420179,Clothing,Credit Card,Surabaya,79,43.17,5420179,0,The first condition (0 != 0) is impossible as 0 always equals 0. The second condition (1.83 >= 2.0) is false since 1.83 is less than 2.0. Neither fraud indicator is met.
2021-02-27,9b925970,a5b48b4c192543b59655909ed42b518d,407087,Sports,PayPal,Surabaya,86,78.9,407087,0,"Neither condition was met. The first condition checks if 0 != 0 (always false), and the second condition checks if 1.09 >= 2.0 (false). No fraud indicators found."
2025-09-27,d1a13076,e4c79fa1558b4fa59ea9b42b6e091c35,7620339,Electronics,Bank Transfer,Surabaya,80,41.67,7620339,0,"Neither condition was met. The first condition checks if 0 != 0 (which is always false), and the second condition checks if 1.92 >= 2.0 (which is false). Therefore, no fraud indicators were detected."
2023-04-28,19e7e8df,bf2625503e2d4a058ba12f98ea6d0393,4476222,Sports,Credit Card,Bandung,42,47.73,4476222,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 0.88 is less than 2.0 (no significant quantity increase)."
2021-07-23,5719a3e7,eb3a9a4963b945f1ac59b43a94da412f,8243260,Electronics,PayPal,Jakarta,27,30.34,8243260,0,"Neither condition was met. 0 is equal to 0, and 0.89 is less than 2.0."
2025-04-12,e8e8f296,12d8b430434b44928b1cfa2f15920d40,8636608,Groceries,Bank Transfer,Jakarta,92,146.03,8636608,0,"Neither condition is met. The first condition (0 != 0) is always false, and 0.63 is less than 2.0, so no fraud indicators are present."
2024-08-26,48478f40,7b5c0ca39b7644efbfd86987398228b1,2006195,Home & Garden,PayPal,Medan,56,44.44,2006195,0,"Neither condition was met. 0 equals 0, and 1.26 is less than 2.0."
2025-11-13,c7ffe64a,fc8ab9127478491bb351f6490a58510a,900488,Home & Garden,Debit Card,Jakarta,46,27.22,900488,0,"Neither condition was met. The first condition (0 != 0) is always false, and 1.69 is less than 2.0, so no fraud indicators were found."
2021-11-04,a86c23c7,1531d13f2acb4ad795c24e42d2005681,4207427,Electronics,PayPal,Jakarta,100,21.46,2566530,1,The transaction is flagged as fraudulent because both conditions are met: 1) -1640897 ≠ 0 (discrepancy in totals) and 2) 4.66 ≥ 2.0 (significant quantity increase).
2023-11-19,0ca5e21a,48bea34c85c742679339c9b75ea797f5,7833645,Clothing,Credit Card,Semarang,90,46.39,7833645,0,Neither condition is met. 0 equals 0 (no discrepancy) and 1.94 is less than 2.0 (no significant quantity increase).
2022-05-06,334f9fba,077bb287b6564ff1a97280f58a545fb5,750853,Sports,Bank Transfer,Jakarta,77,132.76,750853,0,"Neither condition was met. The value 0 equals 0 (no discrepancy), and 0.58 is less than 2.0 (no significant quantity increase)."
2021-01-11,b6af026f,218ace2d4d294dc79b84c85e587ba83e,3482319,Home & Garden,Debit Card,Bandung,65,36.11,3482319,0,"The first condition (0 != 0) is never true because 0 is always equal to 0. The second condition (1.8 >= 2.0) is also false since 1.8 is less than 2.0. Neither condition is met, so the transaction is not fraudulent."
2021-04-25,fa963b3f,4f622b53e8e6419e8579485ca891ad92,823266,Groceries,Credit Card,Jakarta,6,3.53,823266,0,"Neither condition is met. 0 equals 0 (no discrepancy), and 1.7 is less than 2.0 (no significant quantity increase)."
2021-10-19,c11b0121,8155145afe804c618fb303ffe3c5f2f5,3938166,Clothing,Debit Card,Surabaya,57,78.08,3938166,0,"Neither condition was met. The value 0 is equal to 0, and 0.73 is less than 2.0."
2023-01-03,c586c3d9,9f0d3a7fec654e6e8cb14f5673707ce3,7034962,Home & Garden,PayPal,Jakarta,17,25.0,7034962,0,"Neither condition was met. 0 is always equal to 0, and 0.68 is less than 2.0."
2022-01-24,45e77769,757d065fcae540678e6a7cc382cce9d1,1709362,Electronics,Credit Card,Semarang,12,10.0,1709362,0,"Neither condition is met. 0 equals 0, and 1.2 is less than 2.0."
2021-08-06,617c8139,c3b8e42313fa4a1b8c7223115ba1dc38,3488382,Groceries,Credit Card,Bandung,24,5.84,3488382,1,"The transaction is fraudulent because 4.11 is greater than or equal to 2.0, meeting the second condition for potential fraud."
2024-03-14,9e17d9e5,a2e15f09cfc74cfa82315bbd21232987,9187208,Electronics,Credit Card,Surabaya,88,56.41,9187208,0,"Neither condition was met. The first condition (0 != 0) is false, and the second condition (1.56 >= 2.0) is also false."
2022-07-04,0e9e13e6,dd35f65c51d7445f98645ae32fdaf162,1508603,Groceries,Credit Card,Jakarta,94,28.31,1191796,1,The transaction is fraudulent because both conditions are met: 1) -316807 ≠ 0 (discrepancy in totals) and 2) 3.32 ≥ 2.0 (significant quantity increase).
2021-04-23,2ecf5d40,386b773e806c458a952251c8732ab22e,5695826,Groceries,Bank Transfer,Medan,40,42.55,5695826,0,"Neither condition was met. The value 0 equals 0 (no discrepancy), and 0.94 is less than 2.0 (no significant quantity increase)."
2025-11-10,8bbe1ea6,4b7c3bef82ee43489714b7807a06a5cd,7796485,Sports,Debit Card,Medan,70,80.46,7796485,0,"Neither condition was met. The value 0 is equal to 0, and 0.87 is less than 2.0."
2025-11-30,76c36e42,97500ac308214fa9aa4127dde7733a30,9170839,Electronics,Debit Card,Jakarta,90,83.33,9170839,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.08 is less than 2.0 (no significant quantity increase)."
2021-07-28,f60e8dc0,3a19a7dedcd64c0cbfeaca430f4ce96b,9808798,Electronics,Debit Card,Jakarta,35,22.44,9808798,0,"Neither condition was met. The first condition (0 != 0) is false, and the second condition (1.56 >= 2.0) is also false."
2025-06-11,22b4c1a0,8df612a69ec24eab9082d6c7140c3c39,5272915,Groceries,Debit Card,Bandung,91,49.46,5272915,0,"The first condition (0 != 0) is inherently false, and 1.84 is less than 2.0. Neither fraud indicator is met."
2023-10-26,1d59f29b,9c511712eeea469fb3cc2291db864d73,3868506,Electronics,Bank Transfer,Surabaya,91,112.35,3868506,0,"Neither condition was met. 0 equals 0, and 0.81 is less than 2.0."
2022-03-15,c67690dc,c83a7b128dfb465c885d458088173a52,2049056,Electronics,Bank Transfer,Jakarta,51,32.9,2049056,0,"Neither condition was met. The first condition checks if 0 ≠ 0 (which is always false), and the second condition checks if 1.55 ≥ 2.0 (which is also false). Therefore, no fraud indicators were detected."
2024-04-20,4e477f02,42dfc726d41c4ab3ab2e660544b0d4f7,4341051,Electronics,PayPal,Bandung,59,34.1,4341051,0,"Neither condition was met. 0 equals 0, and 1.73 is less than 2.0."
2025-09-06,4ac7ba23,15715cdd5b554b1094af8d3fa5a6db5a,5726207,Clothing,Bank Transfer,Jakarta,11,6.29,5726207,0,"Neither condition is met. 0 equals 0, and 1.75 is less than 2.0."
2025-01-16,2f7616c8,89226303198b4e13bd465dbb21211586,8656240,Clothing,Debit Card,Surabaya,61,60.4,8656240,0,"Neither condition was met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 1.01 is greater than or equal to 2.0 (which is also false)."
2022-06-16,df1b5fcc,31fe6cfd70df43598ca9214094ee37fb,5436518,Clothing,Credit Card,Jakarta,34,26.36,5436518,0,"Neither condition is met. The first condition (0 != 0) is impossible, and 1.29 is less than 2.0."
2025-05-03,07399cfb,de986fcf5ed447f281b2a3b572fa803e,9365541,Clothing,Bank Transfer,Jakarta,68,36.36,9365541,0,"Neither condition was met. 0 equals 0, and 1.87 is less than 2.0."
2024-12-10,af16b6a6,6acba99e15124255a9a17a5c1711b9b1,1309714,Home & Garden,Debit Card,Jakarta,60,88.24,1309714,0,"Neither condition was met. The value 0 equals 0 (no discrepancy), and 0.68 is less than 2.0 (no significant quantity increase)."
2025-07-07,425b9260,0c169ee77c2945e581c77a51ae8652a1,1733263,Home & Garden,PayPal,Bandung,31,16.32,1733263,0,"Neither condition was met. 0 equals 0, and 1.9 is less than 2.0."
2023-02-19,0211fd61,3ddaf319f15c4cdb8c392c7f66a16576,6226842,Groceries,Bank Transfer,Medan,82,68.33,6226842,0,"Neither condition was met. The first condition (0 ≠ 0) is inherently false, and the second condition (1.2 ≥ 2.0) is also false. Therefore, no fraud indicators were detected."
2021-07-02,43096808,57f10ed901bf4feeb6485b9d56e6c68d,959546,Clothing,Bank Transfer,Bandung,90,72.0,959546,0,"Neither condition is met. 0 equals 0, and 1.25 is less than 2.0."
2024-02-06,1e2f6be2,783d156a51fb453fbba6550084de4be2,4310943,Groceries,Debit Card,Surabaya,54,38.03,4310943,0,"Neither condition was met. The first condition checks if 0 != 0 (which is always false), and the second condition checks if 1.42 >= 2.0 (which is false). Since neither condition indicates fraud, the transaction is classified as non-fraudulent."
2022-02-14,6c41fbe1,3552c8f426a54d0cacd7e18dd5b91ecd,4277973,Sports,Debit Card,Jakarta,95,85.59,4277973,0,"Neither condition was met. The first condition (0 != 0) is inherently false, and 1.11 is less than 2.0, so no fraud indicators were detected."
2025-06-04,6d4ffcf9,d45799ecb67c44848ef4c4c506a1ace8,7225420,Clothing,Debit Card,Jakarta,26,20.8,3251439,1,"The value -3973981 is not equal to 0, indicating a discrepancy between expected and reported transaction totals, which is a strong indicator of potential fraud."
2021-06-22,64c706cd,9ea64ea7d9c94a8a91f22eb2636e9b5c,5086784,Clothing,Credit Card,Surabaya,44,33.85,5086784,0,"Neither condition was met. 0 equals 0, and 1.3 is less than 2.0."
2023-11-19,66e999c0,1f4a3855c86a4c2e8baf31e6c7d76460,1217594,Electronics,Bank Transfer,Bandung,73,69.52,1217594,0,"Neither condition was met. The first condition (0 ≠ 0) is inherently false, and 1.05 is less than 2.0, so no fraud indicators were triggered."
2024-03-21,03230ee1,ab30fd1811224242a0f8135aa65af16d,523956,Electronics,Credit Card,Medan,42,57.53,523956,0,"Neither condition was met. 0 equals 0, and 0.73 is less than 2.0."
2023-03-19,695486eb,815844c6721143ebab75e36a1b20c179,7923124,Clothing,Bank Transfer,Semarang,76,97.44,7923124,0,"Neither condition was met. The first condition checks if 0 ≠ 0 (which is false), and the second condition checks if 0.78 ≥ 2.0 (which is also false)."
2021-06-28,a7d374d5,22b1cee1d8ee488486bedf8d6ac55c9b,4100472,Home & Garden,Bank Transfer,Bandung,85,139.34,4100472,0,"Neither condition was met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 0.61 is >= 2.0 (which is also false)."
2021-06-12,ceda6ead,95419a95160847c0887592967fc0a0a5,2375320,Sports,Credit Card,Surabaya,98,72.59,2375320,0,"Neither condition is met. 0 equals 0, and 1.35 is less than 2.0."
2024-06-30,b2cd5767,56f271616e2f41c0b103ac953542dbb6,5050602,Electronics,Credit Card,Medan,68,90.67,5050602,0,"Neither condition was met. The first condition (0 != 0) is always false, and the second condition (0.75 >= 2.0) is also false. Therefore, no indicators of fraud were detected."
2025-01-29,931d6312,a2f8432947de4258af217f1826f26f20,2385592,Sports,Bank Transfer,Jakarta,4,4.55,2385592,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 0.88 is less than 2.0 (no significant quantity increase)."
2024-02-05,9c19601f,0a5c0390f6c146d4af3478447fcf4d11,2002882,Home & Garden,Bank Transfer,Medan,60,37.74,260374,1,"The transaction is flagged as fraudulent because the value -1742508 is not equal to 0, indicating a discrepancy in transaction totals."
2025-12-15,b746773c,5bbd02a290134cc7973b7870dc299b3b,222167,Electronics,Credit Card,Jakarta,21,13.29,151073,1,"The value -71094 is not equal to 0, indicating a discrepancy in transaction totals."
2021-04-04,d84ba9c9,933afbf2e7844cefb7f9447bbc20a80e,472357,Clothing,Credit Card,Surabaya,62,49.6,472357,0,"Neither condition is met. 0 equals 0 (no discrepancy), and 1.25 is less than 2.0 (no significant quantity increase)."
2025-03-05,c10342d6,6cbcbe61a35a46eb83b6b1acfd3024de,8947440,Clothing,Debit Card,Surabaya,43,23.76,8947440,0,"Neither condition was met. 0 is equal to 0, and 1.81 is less than 2.0."
2023-03-13,ababca85,c3f1fb35b0c641b78f723a213536257b,1612182,Clothing,Bank Transfer,Surabaya,35,36.46,1612182,0,"Neither condition was met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 0.96 is >= 2.0 (which is false)."
2023-01-19,1c3556cb,fbee110c40184793bc155bbcfb8a3636,7029666,Groceries,Credit Card,Jakarta,82,33.47,7029666,1,"The transaction is fraudulent because the quantity (2.45) is greater than or equal to 2.0, meeting the second condition for fraud."
2024-07-14,2203d009,5d8f28701a5b409f876eaea7cf972a8f,1916703,Electronics,Debit Card,Jakarta,64,41.29,1916703,0,"Neither condition is met. 0 equals 0, and 1.55 is less than 2.0."
2024-01-26,821fcbde,35854f80b2ab42369cceff9a06afd869,7806875,Clothing,Credit Card,Surabaya,81,119.12,7806875,0,"Neither condition was met. The value 0 equals 0 (no discrepancy), and 0.68 is less than 2.0 (no significant quantity increase)."
2024-10-03,049109e3,2689c9f03c3d44c7a57bf08373192aac,7796817,Electronics,Credit Card,Bandung,58,113.73,7796817,0,"Neither condition is met. The first condition (0 ≠ 0) is logically impossible, and the second condition (0.51 ≥ 2.0) is false. Therefore, no fraud indicators are present."
2023-05-04,b3cd0b69,909a726176ad4ac2905d2c6546c804f2,3030573,Home & Garden,Credit Card,Semarang,30,18.99,3030573,0,"Neither condition was met. The first condition (0 != 0) is always false, and 1.58 is less than 2.0, so no fraud indicators were found."
2021-06-06,109cd72b,d7a0ea1d63b54e6a806a6e21e6160026,2938981,Home & Garden,PayPal,Surabaya,69,34.85,2938981,0,"Neither condition was met. The first condition (0 != 0) is false, and the second condition (1.98 >= 2.0) is also false."
2025-07-06,b70160b6,c0183c9664fb496ab305e8ca55a09019,2809152,Clothing,Debit Card,Bandung,94,55.95,2809152,0,"Neither condition was met. 0 equals 0, and 1.68 is less than 2.0."
2022-02-03,40b17020,ae2e927c0b85444d9ac318d33b8559e3,889819,Sports,Bank Transfer,Bandung,36,21.95,889819,0,"Neither condition is met. 0 equals 0, and 1.64 is less than 2.0."
2024-10-25,7f52cd59,2fcd5d1cfe494ea5842030292fb94c3f,4522311,Clothing,Credit Card,Medan,8,4.91,4522311,0,"Neither condition was met. The first condition (0 != 0) is inherently false, and 1.63 is less than 2.0, so no fraud indicators were detected."
2022-01-12,b8336104,893091b59a624536ae85741419c92220,2720386,Groceries,Debit Card,Jakarta,38,29.69,2720386,0,"Neither condition is met. The first condition checks if 0 ≠ 0 (which is always false), and the second condition checks if 1.28 ≥ 2.0 (which is false)."
2025-02-28,f16de588,dca98de72c4c4393a5c77f2f690d6ed8,1679832,Clothing,Credit Card,Surabaya,69,35.94,1679832,0,"Neither condition is met. 0 equals 0, and 1.92 is less than 2.0."
2022-08-19,dc496f6f,9774a1b115974a258a2ab0ed43e0962d,8807404,Clothing,Debit Card,Bandung,20,10.47,8807404,0,"Neither condition was met. 0 equals 0, and 1.91 is less than 2.0."
2021-10-29,bca0eb0d,fd71e812650045349031e27163002276,7681556,Electronics,Debit Card,Jakarta,10,10.42,7681556,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 0.96 is less than 2.0 (no significant quantity increase)."
2023-11-15,fdbc82af,8044e1b7133a4b03b57a9f9c6a8eac00,2424383,Clothing,Credit Card,Jakarta,72,40.22,2424383,0,"Neither condition is met. 0 equals 0 (no discrepancy), and 1.79 is less than 2.0 (no significant quantity increase)."
2024-05-18,5780893e,3dd72b2a3cad47ee92de3c8901185fe6,3024824,Clothing,PayPal,Semarang,11,12.94,3024824,0,"Neither condition was met. The first condition checks if 0 is not equal to 0 (which is always false), and the second condition checks if 0.85 is >= 2.0 (which is false). Since neither condition indicates fraud, the transaction is classified as non-fraudulent."
2021-10-28,11e01752,d2fab8094a4646a0832cafb6e26b56c5,6292900,Electronics,Debit Card,Jakarta,97,149.23,6292900,0,"Neither condition was met. The value 0 equals 0, and 0.65 is less than 2.0, so no fraud indicators were found."
2021-04-17,56a16e41,6c00bc83a5334ae18b1b59c4dbba1741,4022832,Groceries,Debit Card,Jakarta,70,92.11,4022832,0,"Neither condition was met. The value 0 equals 0 (no discrepancy), and 0.76 is less than 2.0 (no significant quantity increase)."
2022-07-25,149c3a45,4ea0455462f74349b2dbaa69103b89b0,352361,Electronics,Debit Card,Semarang,54,31.58,352361,0,"Neither condition was met. 0 equals 0, and 1.71 is less than 2.0."
2024-12-02,cb91cf8f,e6eeecd41b04436ea1818d4839baac62,5497859,Clothing,PayPal,Semarang,40,32.26,5497859,0,"Neither condition was met. 0 equals 0, and 1.24 is less than 2.0."
2023-11-25,77667012,67bf982b31034e3384cc99d05841bd33,1032047,Groceries,Credit Card,Bandung,17,9.29,1032047,0,"Neither condition was met. The first condition (0 != 0) is always false, and 1.83 is less than 2.0, so no fraud indicators were found."
2024-08-10,10b9b0ba,a9c286c4da63498284cecd2f729519ea,3130790,Clothing,Bank Transfer,Medan,34,8.0,3130790,1,"The transaction meets the second condition where 4.25 is greater than or equal to 2.0, indicating potential fraudulent activity."
2025-08-05,7777fe0a,8022303d45264c2e925de0b53df81e0c,6704607,Groceries,Bank Transfer,Jakarta,12,11.88,6704607,0,"Neither condition was met. The first condition (0 not equal to 0) is logically impossible, and the second condition (1.01 >= 2.0) is false. Therefore, the transaction is not fraudulent."
2024-08-13,b6505ed5,63eace1ab8b6493ea0bb933b1693cbc1,9697909,Home & Garden,Bank Transfer,Semarang,87,93.55,9697909,0,"Neither condition was met. 0 equals 0, and 0.93 is less than 2.0."
2025-07-03,fe1de1be,6cc40a9b66d64fe69f4bb6e44cc77a73,7057732,Groceries,PayPal,Surabaya,36,18.09,7057732,0,"Neither condition is met. 0 equals 0, and 1.99 is less than 2.0."
2021-01-26,be8f861f,360686f6e7ff4dba98cc0687eb942326,4391965,Home & Garden,Debit Card,Medan,17,12.88,4391965,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 1.32 is less than 2.0 (no significant quantity increase)."
